Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
3360.0,-6.951050,-37.946228,-50.161377
3368.0,-5.944977,-37.102753,-49.744720
3376.0,-5.843353,-38.078339,-49.683746
3384.0,-6.188873,-38.301910,-50.283325
3392.0,-6.168549,-37.438110,-49.846344
3400.0,-5.040527,-37.356812,-50.567871
3408.0,-5.507996,-38.027527,-49.998779
3416.0,-5.406372,-37.021454,-49.886993
3424.0,-5.528320,-36.757233,-49.907318
3432.0,-5.223450,-37.600708,-49.968292
3440.0,-5.548645,-37.803955,-50.141052
3448.0,-5.762054,-36.797882,-49.846344
3456.0,-6.046600,-36.960480,-50.059753
3464.0,-5.802704,-36.442200,-50.263000
3472.0,-6.087250,-36.757233,-50.059753
3480.0,-6.066925,-36.543823,-50.242676
3488.0,-5.762054,-37.397461,-50.445923
3496.0,-6.046600,-36.381226,-50.181702
3504.0,-5.426697,-36.117004,-50.527222
3512.0,-5.924652,-35.883270,-50.222351
3520.0,-5.965302,-36.777557,-50.466248
3528.0,-5.985626,-36.625122,-50.263000
3536.0,-4.319000,-37.478760,-49.785370
3544.0,0.792688,-35.680023,-50.506897
3552.0,3.780511,-35.334503,-50.781281
3560.0,4.827265,-35.822296,-51.106476
3568.0,5.721580,-35.680023,-51.543457
3576.0,8.089480,-34.531677,-52.092224
3584.0,9.248024,-35.121094,-52.468231
3592.0,10.538682,-35.202393,-52.844238
3600.0,13.963500,-33.779663,-54.429565
3608.0,16.585466,-33.637390,-55.892944
3616.0,18.485886,-32.336609,-57.600220
3624.0,19.512314,-32.214661,-59.419281
3632.0,21.118015,-31.472809,-61.004608
3640.0,22.896481,-29.846832,-63.067566
3648.0,23.882259,-29.287903,-64.774841
3656.0,24.278603,-28.200531,-66.969910
3664.0,23.719658,-26.960724,-69.032867
3672.0,22.957457,-26.381470,-70.079590
3680.0,24.176977,-25.761566,-70.984039
3688.0,21.910704,-24.399811,-72.579529
3696.0,23.821283,-23.536011,-74.368103
3704.0,21.412733,-21.950684,-75.851807
3712.0,21.016388,-21.391754,-78.016388
3720.0,20.935087,-20.975098,-80.292755
3728.0,21.128178,-19.674316,-81.603699
3736.0,18.933043,-19.532043,-81.817108
3744.0,19.451338,-18.871490,-82.538635
3752.0,18.668814,-18.190613,-83.382111
3760.0,19.766380,-18.566620,-83.941040
3768.0,18.851742,-18.729218,-83.361786
3776.0,19.014343,-18.271912,-83.117889
3784.0,19.044832,-19.084900,-83.006104
3792.0,18.404583,-19.410095,-83.006104
3800.0,18.313120,-18.851166,-83.087402
3808.0,16.341562,-19.227173,-83.808929
3816.0,14.319193,-19.552368,-84.642242
3824.0,14.878139,-19.145874,-83.981689
3832.0,13.780572,-19.064575,-85.302795
3840.0,11.534623,-18.251587,-85.211334
3848.0,11.676901,-18.830841,-85.302795
3856.0,8.607776,-18.363373,-85.892212
3864.0,7.550859,-19.369446,-85.465393
3872.0,6.544755,-18.871490,-85.109711
3880.0,4.563036,-18.383698,-85.445068
3888.0,4.481735,-18.424347,-85.749939
3896.0,3.038636,-17.967041,-85.150360
3904.0,4.105716,-17.306488,-85.567017
3912.0,4.400434,-18.028015,-84.510132
3920.0,5.182959,-17.245514,-84.428833
3928.0,5.924833,-16.605286,-84.347534
3936.0,7.469558,-16.463013,-85.668640
3944.0,8.851680,-16.564636,-86.288544
3952.0,11.615925,-15.965057,-86.024323
